id,name,slug,short_description,description,price,sale_price,stock_quantity,main_image_url,additional_image_urls,display_order,status,category_slug,brand_slug,source_marketplace,source_url,source_price_jpy,source_currency,exchange_rate_note
,Apple iPhone 16 256GB Ultramarine SIM Free,apple-iphone-16-256gb-ultramarine-sim-free-01,Apple iPhone 16 256GB SIM free model listed on Amazon Japan.,Apple iPhone 16 256GB SIM free model listed on Amazon Japan. Collected from Amazon Japan product page/source. Price converted from JPY to VND; stock is a placeholder.,23358000,,20,https://m.media-amazon.com/images/I/61bK6PMOC3L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/61-251PVEZL._AC_SL1500_.jpg|https://m.media-amazon.com/images/I/41e+tgBu8iL._AC_SL1000_.jpg|https://m.media-amazon.com/images/I/71Ecl1RS5jL._AC_SX425_.jpg|https://m.media-amazon.com/images/I/712Pyq1hPfL.jpg|https://m.media-amazon.com/images/I/71doeXXaf-L.__AC_SY445_SX342_QL70_ML2_.jpg,1,1,dien-thoai,apple,Amazon Japan,https://www.amazon.co.jp/dp/B0DGJBMMCV,139800,JPY,1 JPY = 167.08 VND
,OPPO Reno13 A Charcoal Gray,oppo-reno13-a-charcoal-gray-02,OPPO Reno13 A Android smartphone from Amazon Japan listing.,OPPO Reno13 A Android smartphone from Amazon Japan listing. Collected from Amazon Japan product page/source. Price converted from JPY to VND; stock is a placeholder.,7412000,,21,https://m.media-amazon.com/images/I/61G3TBVahGL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/51DULxJmcAL._SL1280_.jpg|https://m.media-amazon.com/images/I/61A9RjNHqPL._AC_SX522_.jpg|https://m.media-amazon.com/images/I/51OEa2yegFL._AC_.jpg|https://m.media-amazon.com/images/I/8160OiLlJEL._AC_SL1500_.jpg|https://m.media-amazon.com/images/I/71fsmNCd4XL._AC_SL1169_.jpg,2,1,dien-thoai,oppo,Amazon Japan,https://www.amazon.co.jp/dp/B0FCL8L1TT,44364,JPY,1 JPY = 167.08 VND
,Xiaomi POCO M7 Pro 5G Black,xiaomi-poco-m7-pro-5g-black-03,Xiaomi POCO M7 Pro 5G smartphone sourced from Amazon Japan.,Xiaomi POCO M7 Pro 5G smartphone sourced from Amazon Japan. Collected from Amazon Japan product page/source. Price converted from JPY to VND; stock is a placeholder.,5009000,,22,https://m.media-amazon.com/images/I/71LaKVa7d2L._AC_SL1200_.jpg,https://m.media-amazon.com/images/I/61Dfzukq7KL._AC_.jpg|https://m.media-amazon.com/images/I/617yVE1WoQL._AC_.jpg|https://m.media-amazon.com/images/I/61zsgtjCMML._AC_SL1000_.jpg|https://m.media-amazon.com/images/I/61DVjOCUjnL._AC_SL1500_.jpg|https://m.media-amazon.com/images/I/61qXnVmcxxL._AC_SX679_.jpg,3,1,dien-thoai,xiaomi,Amazon Japan,https://www.amazon.co.jp/dp/B0DYF4KF65,29980,JPY,1 JPY = 167.08 VND
,Dell Inspiron 14 Core i5 16GB 512GB,dell-inspiron-14-core-i5-16gb-512gb-04,"Dell Inspiron 14 laptop with Core i5, 16GB RAM and 512GB SSD.","Dell Inspiron 14 laptop with Core i5, 16GB RAM and 512GB SSD. Collected from Amazon Japan product page/source. Price converted from JPY to VND; stock is a placeholder.",20701000,,23,https://m.media-amazon.com/images/I/71epkJC5SxL._AC_.jpg,https://m.media-amazon.com/images/I/71jq7qdjh7L._AC_SL1500_.jpg|https://m.media-amazon.com/images/I/41IvNsyyRFL._SX300_SY300_QL70_ML2_.jpg|https://m.media-amazon.com/images/I/41yiEurPAlL._SL500_.jpg|https://m.media-amazon.com/images/I/712qiY2f+gL._AC_SL1500_.jpg|https://m.media-amazon.com/images/I/71I9chrFYFL._AC_SL1500_.jpg,4,1,laptop,dell,Amazon Japan,https://www.amazon.co.jp/dp/B0D69PQC6W,123900,JPY,1 JPY = 167.08 VND
,ASUS Vivobook Go 15 Ryzen 5 16GB 512GB,asus-vivobook-go-15-ryzen-5-16gb-512gb-05,"ASUS Vivobook Go 15 E1504FA laptop with Ryzen 5, 16GB RAM and 512GB SSD.","ASUS Vivobook Go 15 E1504FA laptop with Ryzen 5, 16GB RAM and 512GB SSD. Collected from Amazon Japan product page/source. Price converted from JPY to VND; stock is a placeholder.",14168000,,24,https://m.media-amazon.com/images/I/71GKXeMFy-L._AC_.jpg,https://m.media-amazon.com/images/I/71Xs6WuRQ7L._AC_.jpg|https://m.media-amazon.com/images/I/71FxHLC7QLL._AC_.jpg|https://m.media-amazon.com/images/I/71TK+vh6JIL._AC_.jpg|https://m.media-amazon.com/images/I/712Shp0+iTL._AC_.jpg|https://m.media-amazon.com/images/I/71dEitCVLxL._AC_.jpg,5,1,laptop,asus,Amazon Japan,https://www.amazon.co.jp/dp/B0C5R1CLLZ,84800,JPY,1 JPY = 167.08 VND
,Apple iPad Air M3 11 Wi-Fi 128GB,apple-ipad-air-m3-11-wi-fi-128gb-06,Apple 11-inch iPad Air M3 Wi-Fi 128GB from Amazon Japan.,Apple 11-inch iPad Air M3 Wi-Fi 128GB from Amazon Japan. Collected from Amazon Japan product page/source. Price converted from JPY to VND; stock is a placeholder.,16508000,,25,https://m.media-amazon.com/images/I/61aPY8odPSL._AC_SX679_.jpg,https://m.media-amazon.com/images/I/71ZyojQeOCL._AC_SL1500_.jpg|https://m.media-amazon.com/images/I/71OTzAMXQhL._AC_SL1500_.jpg|https://m.media-amazon.com/images/I/61ix9CMjufL._AC_SL1500_.jpg|https://m.media-amazon.com/images/I/71lyWl+5CXL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/P/B0DZ7WHC6K.01.LZZZZZZZ.jpg,6,1,may-tinh-bang,apple,Amazon Japan,https://www.amazon.co.jp/dp/B0DZ7WHC6K,98800,JPY,1 JPY = 167.08 VND
,Apple iPad Air M2 11 Wi-Fi 256GB,apple-ipad-air-m2-11-wi-fi-256gb-07,Apple iPad Air M2 11-inch Wi-Fi 256GB listed on Amazon Japan.,Apple iPad Air M2 11-inch Wi-Fi 256GB listed on Amazon Japan. Collected from Amazon Japan product page/source. Price converted from JPY to VND; stock is a placeholder.,16222000,,26,https://m.media-amazon.com/images/I/81Xezm8jhwL._AC_.jpg,https://m.media-amazon.com/images/I/61m1Hyo9nqL._AC_SL1500_.jpg|https://m.media-amazon.com/images/I/71Kguvu+50L._AC_SL1500_.jpg|https://m.media-amazon.com/images/I/61aPY8odPSL._AC_SX679_.jpg|https://m.media-amazon.com/images/I/717HgAwhBrL._AC_SL1500_.jpg|https://m.media-amazon.com/images/I/61F0JkimwfL._AC_SL1500_.jpg,7,1,may-tinh-bang,apple,Amazon Japan,https://www.amazon.co.jp/dp/B0D3J71TVW,97091,JPY,1 JPY = 167.08 VND
,Apple iPad A16 11 Wi-Fi 128GB Yellow,apple-ipad-a16-11-wi-fi-128gb-yellow-08,Apple 11-inch iPad A16 Wi-Fi 128GB yellow model.,Apple 11-inch iPad A16 Wi-Fi 128GB yellow model. Collected from Amazon Japan product page/source. Price converted from JPY to VND; stock is a placeholder.,9824000,,27,https://m.media-amazon.com/images/I/616FFqht2sL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/61zDVXHPnQL._AC_.jpg|https://m.media-amazon.com/images/I/31TwHPMMl-L._AC_.jpg|https://m.media-amazon.com/images/I/71z-82jk8zL._AC_SL1500_.jpg|https://m.media-amazon.com/images/I/61TKpa5A6EL._AC_SL1500_.jpg|https://m.media-amazon.com/images/I/61A9uyV2HZL._AC_.jpg,8,1,may-tinh-bang,apple,Amazon Japan,https://www.amazon.co.jp/dp/B0DZ7WF87P,58800,JPY,1 JPY = 167.08 VND
,Galaxy Tab A9 Plus Wi-Fi 64GB Graphite,galaxy-tab-a9-plus-wi-fi-64gb-graphite-09,"Samsung Galaxy Tab A9 Plus Wi-Fi tablet, 64GB graphite.","Samsung Galaxy Tab A9 Plus Wi-Fi tablet, 64GB graphite. Collected from Amazon Japan product page/source. Price converted from JPY to VND; stock is a placeholder.",5029000,,28,https://m.media-amazon.com/images/I/51HL5sz4keL.jpg,https://m.media-amazon.com/images/I/51ItQ7tZkRL._AC_SL1500_.jpg|https://m.media-amazon.com/images/I/71wf0FpPBcL._AC_.jpg|https://m.media-amazon.com/images/I/61nn6gLwAoL._AC_.jpg|https://m.media-amazon.com/images/I/417bx91cc8L._AC_.jpg|https://m.media-amazon.com/images/I/51mbEeREj1L.jpg,9,1,may-tinh-bang,samsung,Amazon Japan,https://www.amazon.co.jp/dp/B0CKKK44GN,30100,JPY,1 JPY = 167.08 VND
,Apple AirTag 1 Pack,apple-airtag-1-pack-10,Apple AirTag single pack from Amazon Japan.,Apple AirTag single pack from Amazon Japan. Collected from Amazon Japan product page/source. Price converted from JPY to VND; stock is a placeholder.,798000,,29,https://m.media-amazon.com/images/I/71gY9E+cTaS.jpg,https://m.media-amazon.com/images/I/71JJueCRWJS.jpg|https://m.media-amazon.com/images/I/81Lq1AfCYpS._AC_SL1500_.jpg|https://m.media-amazon.com/images/I/61UQ-0f6mIL._AC_.jpg|https://m.media-amazon.com/images/I/71Cj41ZxxHL._AC_.jpg|https://m.media-amazon.com/images/I/61ZekhH4IBL._AC_SL1500_.jpg,10,1,phu-kien,apple,Amazon Japan,https://www.amazon.co.jp/dp/B0932QJ2JZ,4779,JPY,1 JPY = 167.08 VND
