id,name,slug,short_description,description,price,sale_price,stock_quantity,main_image_url,additional_image_urls,display_order,status,category_slug,brand_slug,source_marketplace,source_url,source_price_jpy,source_currency,exchange_rate_note
,Apple iPhone 16 256GB Ultramarine SIM Free,apple-iphone-16-256gb-ultramarine-sim-free-01,Apple iPhone 16 256GB SIM free model listed on Amazon Japan.,Apple iPhone 16 256GB SIM free model listed on Amazon Japan. Collected from Amazon Japan product page/source. Price converted from JPY to VND; stock is a placeholder.,23358000,,20,https://images-na.ssl-images-amazon.com/images/P/B0DGJBMMCV.01.LZZZZZZZ.jpg,https://images-na.ssl-images-amazon.com/images/P/B0DGJBMMCV.02.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0DGJBMMCV.03.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0DGJBMMCV.04.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0DGJBMMCV.05.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0DGJBMMCV.06.LZZZZZZZ.jpg,1,1,dien-thoai,apple,Amazon Japan,https://www.amazon.co.jp/dp/B0DGJBMMCV,139800,JPY,1 JPY = 167.08 VND
,OPPO Reno13 A Charcoal Gray,oppo-reno13-a-charcoal-gray-02,OPPO Reno13 A Android smartphone from Amazon Japan listing.,OPPO Reno13 A Android smartphone from Amazon Japan listing. Collected from Amazon Japan product page/source. Price converted from JPY to VND; stock is a placeholder.,7412000,,21,https://images-na.ssl-images-amazon.com/images/P/B0FCL8L1TT.01.LZZZZZZZ.jpg,https://images-na.ssl-images-amazon.com/images/P/B0FCL8L1TT.02.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0FCL8L1TT.03.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0FCL8L1TT.04.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0FCL8L1TT.05.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0FCL8L1TT.06.LZZZZZZZ.jpg,2,1,dien-thoai,oppo,Amazon Japan,https://www.amazon.co.jp/dp/B0FCL8L1TT,44364,JPY,1 JPY = 167.08 VND
,Xiaomi POCO M7 Pro 5G Black,xiaomi-poco-m7-pro-5g-black-03,Xiaomi POCO M7 Pro 5G smartphone sourced from Amazon Japan.,Xiaomi POCO M7 Pro 5G smartphone sourced from Amazon Japan. Collected from Amazon Japan product page/source. Price converted from JPY to VND; stock is a placeholder.,5009000,,22,https://images-na.ssl-images-amazon.com/images/P/B0DYF4KF65.01.LZZZZZZZ.jpg,https://images-na.ssl-images-amazon.com/images/P/B0DYF4KF65.02.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0DYF4KF65.03.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0DYF4KF65.04.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0DYF4KF65.05.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0DYF4KF65.06.LZZZZZZZ.jpg,3,1,dien-thoai,xiaomi,Amazon Japan,https://www.amazon.co.jp/dp/B0DYF4KF65,29980,JPY,1 JPY = 167.08 VND
,Dell Inspiron 14 Core i5 16GB 512GB,dell-inspiron-14-core-i5-16gb-512gb-04,"Dell Inspiron 14 laptop with Core i5, 16GB RAM and 512GB SSD.","Dell Inspiron 14 laptop with Core i5, 16GB RAM and 512GB SSD. Collected from Amazon Japan product page/source. Price converted from JPY to VND; stock is a placeholder.",20701000,,23,https://images-na.ssl-images-amazon.com/images/P/B0D69PQC6W.01.LZZZZZZZ.jpg,https://images-na.ssl-images-amazon.com/images/P/B0D69PQC6W.02.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0D69PQC6W.03.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0D69PQC6W.04.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0D69PQC6W.05.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0D69PQC6W.06.LZZZZZZZ.jpg,4,1,laptop,dell,Amazon Japan,https://www.amazon.co.jp/dp/B0D69PQC6W,123900,JPY,1 JPY = 167.08 VND
,ASUS Vivobook Go 15 Ryzen 5 16GB 512GB,asus-vivobook-go-15-ryzen-5-16gb-512gb-05,"ASUS Vivobook Go 15 E1504FA laptop with Ryzen 5, 16GB RAM and 512GB SSD.","ASUS Vivobook Go 15 E1504FA laptop with Ryzen 5, 16GB RAM and 512GB SSD. Collected from Amazon Japan product page/source. Price converted from JPY to VND; stock is a placeholder.",14168000,,24,https://images-na.ssl-images-amazon.com/images/P/B0C5R1CLLZ.01.LZZZZZZZ.jpg,https://images-na.ssl-images-amazon.com/images/P/B0C5R1CLLZ.02.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0C5R1CLLZ.03.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0C5R1CLLZ.04.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0C5R1CLLZ.05.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0C5R1CLLZ.06.LZZZZZZZ.jpg,5,1,laptop,asus,Amazon Japan,https://www.amazon.co.jp/dp/B0C5R1CLLZ,84800,JPY,1 JPY = 167.08 VND
,Apple iPad Air M3 11 Wi-Fi 128GB,apple-ipad-air-m3-11-wi-fi-128gb-06,Apple 11-inch iPad Air M3 Wi-Fi 128GB from Amazon Japan.,Apple 11-inch iPad Air M3 Wi-Fi 128GB from Amazon Japan. Collected from Amazon Japan product page/source. Price converted from JPY to VND; stock is a placeholder.,16508000,,25,https://images-na.ssl-images-amazon.com/images/P/B0DZ7WHC6K.01.LZZZZZZZ.jpg,https://images-na.ssl-images-amazon.com/images/P/B0DZ7WHC6K.02.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0DZ7WHC6K.03.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0DZ7WHC6K.04.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0DZ7WHC6K.05.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0DZ7WHC6K.06.LZZZZZZZ.jpg,6,1,may-tinh-bang,apple,Amazon Japan,https://www.amazon.co.jp/dp/B0DZ7WHC6K,98800,JPY,1 JPY = 167.08 VND
,Apple iPad Air M2 11 Wi-Fi 256GB,apple-ipad-air-m2-11-wi-fi-256gb-07,Apple iPad Air M2 11-inch Wi-Fi 256GB listed on Amazon Japan.,Apple iPad Air M2 11-inch Wi-Fi 256GB listed on Amazon Japan. Collected from Amazon Japan product page/source. Price converted from JPY to VND; stock is a placeholder.,16222000,,26,https://images-na.ssl-images-amazon.com/images/P/B0D3J71TVW.01.LZZZZZZZ.jpg,https://images-na.ssl-images-amazon.com/images/P/B0D3J71TVW.02.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0D3J71TVW.03.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0D3J71TVW.04.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0D3J71TVW.05.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0D3J71TVW.06.LZZZZZZZ.jpg,7,1,may-tinh-bang,apple,Amazon Japan,https://www.amazon.co.jp/dp/B0D3J71TVW,97091,JPY,1 JPY = 167.08 VND
,Apple iPad A16 11 Wi-Fi 128GB Yellow,apple-ipad-a16-11-wi-fi-128gb-yellow-08,Apple 11-inch iPad A16 Wi-Fi 128GB yellow model.,Apple 11-inch iPad A16 Wi-Fi 128GB yellow model. Collected from Amazon Japan product page/source. Price converted from JPY to VND; stock is a placeholder.,9824000,,27,https://images-na.ssl-images-amazon.com/images/P/B0DZ7WF87P.01.LZZZZZZZ.jpg,https://images-na.ssl-images-amazon.com/images/P/B0DZ7WF87P.02.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0DZ7WF87P.03.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0DZ7WF87P.04.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0DZ7WF87P.05.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0DZ7WF87P.06.LZZZZZZZ.jpg,8,1,may-tinh-bang,apple,Amazon Japan,https://www.amazon.co.jp/dp/B0DZ7WF87P,58800,JPY,1 JPY = 167.08 VND
,Galaxy Tab A9 Plus Wi-Fi 64GB Graphite,galaxy-tab-a9-plus-wi-fi-64gb-graphite-09,"Samsung Galaxy Tab A9 Plus Wi-Fi tablet, 64GB graphite.","Samsung Galaxy Tab A9 Plus Wi-Fi tablet, 64GB graphite. Collected from Amazon Japan product page/source. Price converted from JPY to VND; stock is a placeholder.",5029000,,28,https://images-na.ssl-images-amazon.com/images/P/B0CKKK44GN.01.LZZZZZZZ.jpg,https://images-na.ssl-images-amazon.com/images/P/B0CKKK44GN.02.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0CKKK44GN.03.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0CKKK44GN.04.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0CKKK44GN.05.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0CKKK44GN.06.LZZZZZZZ.jpg,9,1,may-tinh-bang,samsung,Amazon Japan,https://www.amazon.co.jp/dp/B0CKKK44GN,30100,JPY,1 JPY = 167.08 VND
,Apple AirTag 1 Pack,apple-airtag-1-pack-10,Apple AirTag single pack from Amazon Japan.,Apple AirTag single pack from Amazon Japan. Collected from Amazon Japan product page/source. Price converted from JPY to VND; stock is a placeholder.,798000,,29,https://images-na.ssl-images-amazon.com/images/P/B0932QJ2JZ.01.LZZZZZZZ.jpg,https://images-na.ssl-images-amazon.com/images/P/B0932QJ2JZ.02.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0932QJ2JZ.03.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0932QJ2JZ.04.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0932QJ2JZ.05.LZZZZZZZ.jpg|https://images-na.ssl-images-amazon.com/images/P/B0932QJ2JZ.06.LZZZZZZZ.jpg,10,1,phu-kien,apple,Amazon Japan,https://www.amazon.co.jp/dp/B0932QJ2JZ,4779,JPY,1 JPY = 167.08 VND
