id,name,slug,short_description,description,price,sale_price,stock_quantity,main_image_url,additional_image_urls,display_order,status,category_slug,brand_slug,source_marketplace,source_url,source_price_jpy,source_currency,exchange_rate_note
,Canon EOS R50 Mirrorless Camera Kit White,canon-eos-r50-mirrorless-camera-kit-white-71,Canon EOS R50 mirrorless kit.,Product data prepared for Store import. Price converted from JPY to VND; stock is a placeholder.,19849000,,28,"https://loremflickr.com/900/900/camera,product?lock=260519700","https://loremflickr.com/900/900/camera,product?lock=260519701|https://loremflickr.com/900/900/camera,product?lock=260519702|https://loremflickr.com/900/900/camera,product?lock=260519703|https://loremflickr.com/900/900/camera,product?lock=260519704|https://loremflickr.com/900/900/camera,product?lock=260519705",1,1,camera,,Amazon Japan,https://www.amazon.co.jp/s?k=Canon+EOS+R50+Mirrorless+Camera+Kit+White,118800,JPY,1 JPY = 167.08 VND
,TP-Link RE705X Wi-Fi 6 Range Extender,tp-link-re705x-wi-fi-6-range-extender-87,Bộ mở rộng sóng TP-Link RE705X.,Product data prepared for Store import. Price converted from JPY to VND; stock is a placeholder.,1972000,,44,"https://loremflickr.com/900/900/wifi,router?lock=260519860","https://loremflickr.com/900/900/wifi,router?lock=260519861|https://loremflickr.com/900/900/wifi,router?lock=260519862|https://loremflickr.com/900/900/wifi,router?lock=260519863|https://loremflickr.com/900/900/wifi,router?lock=260519864|https://loremflickr.com/900/900/wifi,router?lock=260519865",2,1,thiet-bi-mang,,Amazon Japan,https://www.amazon.co.jp/s?k=TP-Link+RE705X+Wi-Fi+6+Range+Extender,11800,JPY,1 JPY = 167.08 VND
,DHC Force Collie 30 Day,dhc-force-collie-30-day-114,DHC Force Collie 30 ngày.,Product data prepared for Store import. Price converted from JPY to VND; stock is a placeholder.,434000,,40,"https://loremflickr.com/900/900/supplement,pills,bottle?lock=260520130","https://loremflickr.com/900/900/supplement,pills,bottle?lock=260520131|https://loremflickr.com/900/900/supplement,pills,bottle?lock=260520132|https://loremflickr.com/900/900/supplement,pills,bottle?lock=260520133|https://loremflickr.com/900/900/supplement,pills,bottle?lock=260520134|https://loremflickr.com/900/900/supplement,pills,bottle?lock=260520135",3,1,thuc-pham-bo-sung,,Amazon Japan,https://www.amazon.co.jp/s?k=DHC+Force+Collie+30+Day,2598,JPY,1 JPY = 167.08 VND
,DHC Vitamin C 90 Day,dhc-vitamin-c-90-day-91,Vitamin C DHC gói 90 ngày.,Product data prepared for Store import. Price converted from JPY to VND; stock is a placeholder.,130000,120000,48,"https://loremflickr.com/900/900/vitamin,pills?lock=260519900","https://loremflickr.com/900/900/vitamin,pills?lock=260519901|https://loremflickr.com/900/900/vitamin,pills?lock=260519902|https://loremflickr.com/900/900/vitamin,pills?lock=260519903|https://loremflickr.com/900/900/vitamin,pills?lock=260519904|https://loremflickr.com/900/900/vitamin,pills?lock=260519905",4,1,thuc-pham-bo-sung,,Amazon Japan,https://www.amazon.co.jp/s?k=DHC+Vitamin+C+90+Day,780,JPY,1 JPY = 167.08 VND
,Dell XPS 13 Snapdragon X Elite 16GB 512GB,dell-xps-13-snapdragon-x-elite-16gb-512gb-13,Dell XPS 13 Snapdragon X Elite.,Product data prepared for Store import. Price converted from JPY to VND; stock is a placeholder.,31712000,,32,"https://loremflickr.com/900/900/laptop,computer?lock=260519120","https://loremflickr.com/900/900/laptop,computer?lock=260519121|https://loremflickr.com/900/900/laptop,computer?lock=260519122|https://loremflickr.com/900/900/laptop,computer?lock=260519123|https://loremflickr.com/900/900/laptop,computer?lock=260519124|https://loremflickr.com/900/900/laptop,computer?lock=260519125",5,1,laptop,dell,Amazon Japan,https://www.amazon.co.jp/s?k=Dell+XPS+13+Snapdragon+X+Elite+16GB+512GB,189800,JPY,1 JPY = 167.08 VND
,Logitech MX Master 3S Wireless Mouse,logitech-mx-master-3s-wireless-mouse-38,Chuột không dây Logitech MX Master 3S.,Product data prepared for Store import. Price converted from JPY to VND; stock is a placeholder.,2286000,,26,"https://loremflickr.com/900/900/computer,mouse?lock=260519370","https://loremflickr.com/900/900/computer,mouse?lock=260519371|https://loremflickr.com/900/900/computer,mouse?lock=260519372|https://loremflickr.com/900/900/computer,mouse?lock=260519373|https://loremflickr.com/900/900/computer,mouse?lock=260519374|https://loremflickr.com/900/900/computer,mouse?lock=260519375",6,1,phu-kien,logitech,Amazon Japan,https://www.amazon.co.jp/s?k=Logitech+MX+Master+3S+Wireless+Mouse,13680,JPY,1 JPY = 167.08 VND
,Sony ULT Wear Wireless Headphones Gray,sony-ult-wear-wireless-headphones-gray-59,Tai nghe Sony ULT Wear.,Product data prepared for Store import. Price converted from JPY to VND; stock is a placeholder.,4478000,,47,"https://loremflickr.com/900/900/wireless,headphones?lock=260519580","https://loremflickr.com/900/900/wireless,headphones?lock=260519581|https://loremflickr.com/900/900/wireless,headphones?lock=260519582|https://loremflickr.com/900/900/wireless,headphones?lock=260519583|https://loremflickr.com/900/900/wireless,headphones?lock=260519584|https://loremflickr.com/900/900/wireless,headphones?lock=260519585",7,1,tai-nghe,sony,Amazon Japan,https://www.amazon.co.jp/s?k=Sony+ULT+Wear+Wireless+Headphones+Gray,26800,JPY,1 JPY = 167.08 VND
,DHC Multi Vitamin 90 Day,dhc-multi-vitamin-90-day-89,Vitamin tổng hợp DHC gói 90 ngày.,Product data prepared for Store import. Price converted from JPY to VND; stock is a placeholder.,154000,,46,"https://loremflickr.com/900/900/vitamin,pills?lock=260519880","https://loremflickr.com/900/900/vitamin,pills?lock=260519881|https://loremflickr.com/900/900/vitamin,pills?lock=260519882|https://loremflickr.com/900/900/vitamin,pills?lock=260519883|https://loremflickr.com/900/900/vitamin,pills?lock=260519884|https://loremflickr.com/900/900/vitamin,pills?lock=260519885",8,1,thuc-pham-bo-sung,,Amazon Japan,https://www.amazon.co.jp/s?k=DHC+Multi+Vitamin+90+Day,921,JPY,1 JPY = 167.08 VND
,DHC Calcium Magnesium 90 Day,dhc-calcium-magnesium-90-day-100,DHC Calcium Magnesium 90 ngày.,Product data prepared for Store import. Price converted from JPY to VND; stock is a placeholder.,191000,176000,26,"https://loremflickr.com/900/900/supplement,pills,bottle?lock=260519990","https://loremflickr.com/900/900/supplement,pills,bottle?lock=260519991|https://loremflickr.com/900/900/supplement,pills,bottle?lock=260519992|https://loremflickr.com/900/900/supplement,pills,bottle?lock=260519993|https://loremflickr.com/900/900/supplement,pills,bottle?lock=260519994|https://loremflickr.com/900/900/supplement,pills,bottle?lock=260519995",9,1,thuc-pham-bo-sung,,Amazon Japan,https://www.amazon.co.jp/s?k=DHC+Calcium+Magnesium+90+Day,1145,JPY,1 JPY = 167.08 VND
,DHC Propolis 30 Day,dhc-propolis-30-day-130,DHC Propolis 30 ngày.,Product data prepared for Store import. Price converted from JPY to VND; stock is a placeholder.,214000,,25,"https://loremflickr.com/900/900/supplement,pills,bottle?lock=260520290","https://loremflickr.com/900/900/supplement,pills,bottle?lock=260520291|https://loremflickr.com/900/900/supplement,pills,bottle?lock=260520292|https://loremflickr.com/900/900/supplement,pills,bottle?lock=260520293|https://loremflickr.com/900/900/supplement,pills,bottle?lock=260520294|https://loremflickr.com/900/900/supplement,pills,bottle?lock=260520295",10,1,thuc-pham-bo-sung,,Amazon Japan,https://www.amazon.co.jp/s?k=DHC+Propolis+30+Day,1280,JPY,1 JPY = 167.08 VND
,FANCL Deep Charge Collagen 30 Day,fancl-deep-charge-collagen-30-day-113,FANCL Deep Charge Collagen.,Product data prepared for Store import. Price converted from JPY to VND; stock is a placeholder.,217000,,39,"https://loremflickr.com/900/900/collagen,supplement?lock=260520120","https://loremflickr.com/900/900/collagen,supplement?lock=260520121|https://loremflickr.com/900/900/collagen,supplement?lock=260520122|https://loremflickr.com/900/900/collagen,supplement?lock=260520123|https://loremflickr.com/900/900/collagen,supplement?lock=260520124|https://loremflickr.com/900/900/collagen,supplement?lock=260520125",11,1,thuc-pham-bo-sung,,Amazon Japan,https://www.amazon.co.jp/s?k=FANCL+Deep+Charge+Collagen+30+Day,1296,JPY,1 JPY = 167.08 VND
,Apple Watch Ultra 2 GPS Cellular Black Titanium,apple-watch-ultra-2-gps-cellular-black-titanium-46,Apple Watch Ultra 2 GPS Cellular.,Product data prepared for Store import. Price converted from JPY to VND; stock is a placeholder.,21520000,19798000,34,https://loremflickr.com/900/900/smartwatch?lock=260519450,https://loremflickr.com/900/900/smartwatch?lock=260519451|https://loremflickr.com/900/900/smartwatch?lock=260519452|https://loremflickr.com/900/900/smartwatch?lock=260519453|https://loremflickr.com/900/900/smartwatch?lock=260519454|https://loremflickr.com/900/900/smartwatch?lock=260519455,12,1,dong-ho-thong-minh,apple,Amazon Japan,https://www.amazon.co.jp/s?k=Apple+Watch+Ultra+2+GPS+Cellular+Black+Titanium,128800,JPY,1 JPY = 167.08 VND
,UHA Gummy Supplement Zinc Maca,uha-gummy-supplement-zinc-maca-129,UHA gummy Zinc Maca.,Product data prepared for Store import. Price converted from JPY to VND; stock is a placeholder.,164000,,24,"https://loremflickr.com/900/900/supplement,pills,bottle?lock=260520280","https://loremflickr.com/900/900/supplement,pills,bottle?lock=260520281|https://loremflickr.com/900/900/supplement,pills,bottle?lock=260520282|https://loremflickr.com/900/900/supplement,pills,bottle?lock=260520283|https://loremflickr.com/900/900/supplement,pills,bottle?lock=260520284|https://loremflickr.com/900/900/supplement,pills,bottle?lock=260520285",13,1,thuc-pham-bo-sung,,Amazon Japan,https://www.amazon.co.jp/s?k=UHA+Gummy+Supplement+Zinc+Maca,980,JPY,1 JPY = 167.08 VND
,Apple USB-C Digital AV Multiport Adapter,apple-usb-c-digital-av-multiport-adapter-37,Adapter Apple USB-C Digital AV.,Product data prepared for Store import. Price converted from JPY to VND; stock is a placeholder.,1567000,1442000,25,"https://loremflickr.com/900/900/tech,accessories?lock=260519360","https://loremflickr.com/900/900/tech,accessories?lock=260519361|https://loremflickr.com/900/900/tech,accessories?lock=260519362|https://loremflickr.com/900/900/tech,accessories?lock=260519363|https://loremflickr.com/900/900/tech,accessories?lock=260519364|https://loremflickr.com/900/900/tech,accessories?lock=260519365",14,1,phu-kien,apple,Amazon Japan,https://www.amazon.co.jp/s?k=Apple+USB-C+Digital+AV+Multiport+Adapter,9380,JPY,1 JPY = 167.08 VND
,JBL Tune Beam Ghost True Wireless Earbuds,jbl-tune-beam-ghost-true-wireless-earbuds-60,Tai nghe JBL Tune Beam Ghost.,Product data prepared for Store import. Price converted from JPY to VND; stock is a placeholder.,2286000,,48,"https://loremflickr.com/900/900/wireless,earbuds?lock=260519590","https://loremflickr.com/900/900/wireless,earbuds?lock=260519591|https://loremflickr.com/900/900/wireless,earbuds?lock=260519592|https://loremflickr.com/900/900/wireless,earbuds?lock=260519593|https://loremflickr.com/900/900/wireless,earbuds?lock=260519594|https://loremflickr.com/900/900/wireless,earbuds?lock=260519595",15,1,tai-nghe,jbl,Amazon Japan,https://www.amazon.co.jp/s?k=JBL+Tune+Beam+Ghost+True+Wireless+Earbuds,13680,JPY,1 JPY = 167.08 VND
,Nature Made Vitamin C 200 Tablets,nature-made-vitamin-c-200-tablets-124,Nature Made Vitamin C.,Product data prepared for Store import. Price converted from JPY to VND; stock is a placeholder.,209000,,50,"https://loremflickr.com/900/900/vitamin,pills?lock=260520230","https://loremflickr.com/900/900/vitamin,pills?lock=260520231|https://loremflickr.com/900/900/vitamin,pills?lock=260520232|https://loremflickr.com/900/900/vitamin,pills?lock=260520233|https://loremflickr.com/900/900/vitamin,pills?lock=260520234|https://loremflickr.com/900/900/vitamin,pills?lock=260520235",16,1,thuc-pham-bo-sung,,Amazon Japan,https://www.amazon.co.jp/s?k=Nature+Made+Vitamin+C+200+Tablets,1250,JPY,1 JPY = 167.08 VND
,DHC Coenzyme Q10 60 Day,dhc-coenzyme-q10-60-day-111,DHC Coenzyme Q10 60 ngày.,Product data prepared for Store import. Price converted from JPY to VND; stock is a placeholder.,314000,,37,"https://loremflickr.com/900/900/supplement,pills,bottle?lock=260520100","https://loremflickr.com/900/900/supplement,pills,bottle?lock=260520101|https://loremflickr.com/900/900/supplement,pills,bottle?lock=260520102|https://loremflickr.com/900/900/supplement,pills,bottle?lock=260520103|https://loremflickr.com/900/900/supplement,pills,bottle?lock=260520104|https://loremflickr.com/900/900/supplement,pills,bottle?lock=260520105",17,1,thuc-pham-bo-sung,,Amazon Japan,https://www.amazon.co.jp/s?k=DHC+Coenzyme+Q10+60+Day,1880,JPY,1 JPY = 167.08 VND
,Xiaomi Pad 6S Pro 12.4 256GB Black,xiaomi-pad-6s-pro-12-4-256gb-black-32,Xiaomi Pad 6S Pro 12.4.,Product data prepared for Store import. Price converted from JPY to VND; stock is a placeholder.,11662000,,20,"https://loremflickr.com/900/900/tablet,computer?lock=260519310","https://loremflickr.com/900/900/tablet,computer?lock=260519311|https://loremflickr.com/900/900/tablet,computer?lock=260519312|https://loremflickr.com/900/900/tablet,computer?lock=260519313|https://loremflickr.com/900/900/tablet,computer?lock=260519314|https://loremflickr.com/900/900/tablet,computer?lock=260519315",18,1,may-tinh-bang,xiaomi,Amazon Japan,https://www.amazon.co.jp/s?k=Xiaomi+Pad+6S+Pro+12.4+256GB+Black,69800,JPY,1 JPY = 167.08 VND
,OPPO Band 2 Light Blue,oppo-band-2-light-blue-53,OPPO Band 2 màu xanh nhạt.,Product data prepared for Store import. Price converted from JPY to VND; stock is a placeholder.,1333000,,41,"https://loremflickr.com/900/900/fitness,tracker?lock=260519520","https://loremflickr.com/900/900/fitness,tracker?lock=260519521|https://loremflickr.com/900/900/fitness,tracker?lock=260519522|https://loremflickr.com/900/900/fitness,tracker?lock=260519523|https://loremflickr.com/900/900/fitness,tracker?lock=260519524|https://loremflickr.com/900/900/fitness,tracker?lock=260519525",19,1,dong-ho-thong-minh,oppo,Amazon Japan,https://www.amazon.co.jp/s?k=OPPO+Band+2+Light+Blue,7980,JPY,1 JPY = 167.08 VND
,Fujifilm Instax Mini 12 Blossom Pink,fujifilm-instax-mini-12-blossom-pink-75,Fujifilm Instax Mini 12.,Product data prepared for Store import. Price converted from JPY to VND; stock is a placeholder.,1972000,,32,"https://loremflickr.com/900/900/instant,camera?lock=260519740","https://loremflickr.com/900/900/instant,camera?lock=260519741|https://loremflickr.com/900/900/instant,camera?lock=260519742|https://loremflickr.com/900/900/instant,camera?lock=260519743|https://loremflickr.com/900/900/instant,camera?lock=260519744|https://loremflickr.com/900/900/instant,camera?lock=260519745",20,1,camera,,Amazon Japan,https://www.amazon.co.jp/s?k=Fujifilm+Instax+Mini+12+Blossom+Pink,11800,JPY,1 JPY = 167.08 VND
